file name,distance,amp,peak,RMS
data_30cm_200Hz_10Amp_1.wav,30cm,10Amp,0.3354380428791046,0.07107226550579071
data_30cm_200Hz_10Amp_2.wav,30cm,10Amp,0.3234332501888275,0.06835822761058807
data_30cm_200Hz_10Amp_3.wav,30cm,10Amp,0.4131241738796234,0.07620781660079956
data_30cm_200Hz_20Amp_1.wav,30cm,20Amp,0.3203187584877014,0.0820579081773758
data_30cm_200Hz_20Amp_2.wav,30cm,20Amp,0.30873173475265503,0.08287762850522995
data_30cm_200Hz_20Amp_3.wav,30cm,20Amp,0.35279178619384766,0.08488970249891281
data_30cm_200Hz_5Amp_1.wav,30cm,5Amp,0.341479629278183,0.06690441071987152
data_30cm_200Hz_5Amp_2.wav,30cm,5Amp,0.30980026721954346,0.06722621619701385
data_30cm_200Hz_5Amp_3.wav,30cm,5Amp,0.28211840987205505,0.06604895740747452
data_45cm_200Hz_10Amp_1.wav,45cm,10Amp,0.3572233021259308,0.08239337801933289
data_45cm_200Hz_10Amp_2.wav,45cm,10Amp,0.2789413332939148,0.08387698978185654
data_45cm_200Hz_10Amp_3.wav,45cm,10Amp,0.3042861819267273,0.08205561339855194
data_45cm_200Hz_20Amp_1.wav,45cm,20Amp,0.4783400297164917,0.15207545459270477
data_45cm_200Hz_20Amp_2.wav,45cm,20Amp,0.46265411376953125,0.157035693526268
data_45cm_200Hz_20Amp_3.wav,45cm,20Amp,0.47540462017059326,0.1555509865283966
data_45cm_200Hz_5Amp_1.wav,45cm,5Amp,0.2617078125476837,0.0619463287293911
data_45cm_200Hz_5Amp_2.wav,45cm,5Amp,0.21509459614753723,0.06009472534060478
data_45cm_200Hz_5Amp_3.wav,45cm,5Amp,0.3120456635951996,0.0517304465174675
data_60cm_200Hz_10Amp_1.wav,60cm,10Amp,0.3013209104537964,0.06198159232735634
data_60cm_200Hz_10Amp_2.wav,60cm,10Amp,0.497820109128952,0.06768862158060074
data_60cm_200Hz_10Amp_3.wav,60cm,10Amp,0.34141144156455994,0.06079341098666191
