TIME,SAMPLES,CAVITY,WAVE_LOC,GEO_LOC,FREQ,AMP
20,3,NO,"14,5: A1","14,14: B1",10,5
20,3,NO,"14,5: A1","14,14: B1",10,10
20,3,NO,"14,5: A1","14,14: B1",10,20
20,3,NO,"14,5: A1","14,14: B1",100,5
20,3,NO,"14,5: A1","14,14: B1",100,10
20,3,NO,"14,5: A1","14,14: B1",100,20
20,3,NO,"14,5: A1","14,14: B1",200,5
20,3,NO,"14,5: A1","14,14: B1",200,10
20,3,NO,"14,5: A1","14,14: B1",200,20
20,3,NO,"14,5: A1","14,23: C1",10,5
20,3,NO,"14,5: A1","14,23: C1",10,10
20,3,NO,"14,5: A1","14,23: C1",10,20
20,3,NO,"14,5: A1","14,23: C1",100,5
20,3,NO,"14,5: A1","14,23: C1",100,10
20,3,NO,"14,5: A1","14,23: C1",100,20
20,3,NO,"14,5: A1","14,23: C1",200,5
20,3,NO,"14,5: A1","14,23: C1",200,10
20,3,NO,"14,5: A1","14,23: C1",200,20
20,3,NO,"14,5: A1","32,5: A2",10,5
20,3,NO,"14,5: A1","32,5: A2",10,10
20,3,NO,"14,5: A1","32,5: A2",10,20
20,3,NO,"14,5: A1","32,5: A2",100,5
20,3,NO,"14,5: A1","32,5: A2",100,10
20,3,NO,"14,5: A1","32,5: A2",100,20
20,3,NO,"14,5: A1","32,5: A2",200,5
20,3,NO,"14,5: A1","32,5: A2",200,10
20,3,NO,"14,5: A1","32,5: A2",200,20
20,3,NO,"14,5: A1","32,14  B2",10,5
20,3,NO,"14,5: A1","32,14  B2",10,10
20,3,NO,"14,5: A1","32,14  B2",10,20
20,3,NO,"14,5: A1","32,14  B2",100,5
20,3,NO,"14,5: A1","32,14  B2",100,10
20,3,NO,"14,5: A1","32,14  B2",100,20
20,3,NO,"14,5: A1","32,14  B2",200,5
20,3,NO,"14,5: A1","32,14  B2",200,10
20,3,NO,"14,5: A1","32,14  B2",200,20
20,3,NO,"14,5: A1","32,23: C2",10,5
20,3,NO,"14,5: A1","32,23: C2",10,10
20,3,NO,"14,5: A1","32,23: C2",10,20
20,3,NO,"14,5: A1","32,23: C2",100,5
20,3,NO,"14,5: A1","32,23: C2",100,10
20,3,NO,"14,5: A1","32,23: C2",100,20
20,3,NO,"14,5: A1","32,23: C2",200,5
20,3,NO,"14,5: A1","32,23: C2",200,10
20,3,NO,"14,5: A1","32,23: C2",200,20
20,3,NO,"14,5: A1","50,5: A3",10,5
20,3,NO,"14,5: A1","50,5: A3",10,10
20,3,NO,"14,5: A1","50,5: A3",10,20
20,3,NO,"14,5: A1","50,5: A3",100,5
20,3,NO,"14,5: A1","50,5: A3",100,10
20,3,NO,"14,5: A1","50,5: A3",100,20
20,3,NO,"14,5: A1","50,5: A3",200,5
20,3,NO,"14,5: A1","50,5: A3",200,10
20,3,NO,"14,5: A1","50,5: A3",200,20
20,3,NO,"14,5: A1","50,14: B3",10,5
20,3,NO,"14,5: A1","50,14: B3",10,10
20,3,NO,"14,5: A1","50,14: B3",10,20
20,3,NO,"14,5: A1","50,14: B3",100,5
20,3,NO,"14,5: A1","50,14: B3",100,10
